;Invoice ID;Branch;Cidade;Customer type;Gênero;Linha de produto;Preço unitário;Quantidade;Tax 5%;Total;Data;Time;Pagamento;cogs;gross margin percentage;gross income;Rating
0;750-67-8428;A;Tupã;Member;Feminino;saúde e beleza;74,69;7;26,1415;548,9715;1/5/2019;13:08;carteira eletrônica;522,83;4,761904762;26,1415;9,1
1;226-31-3081;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;15,28;5;3,82;80,22;3/8/2019;10:29;dinheiro;76,4;4,761904762;3,82;9,6
2;631-41-3108;A;Tupã;Normal;Masculino;casa e estilo de vida;46,33;7;16,2155;340,5255;3/3/2019;13:23;cartão de crédito;324,31;4,761904762;16,2155;7,4
3;123-19-1176;A;Tupã;Member;Masculino;saúde e beleza;58,22;8;23,288;489,048;1/27/2019;20:33;carteira eletrônica;465,76;4,761904762;23,288;8,4
4;373-73-7910;A;Tupã;Normal;Masculino;esportes e viagens;86,31;7;30,2085;634,3785;2/8/2019;10:37;carteira eletrônica;604,17;4,761904762;30,2085;5,3
5;699-14-3026;C;Presidente Prudente;Normal;Masculino;acessórios eletronicos;85,39;7;29,8865;627,6165;3/25/2019;18:30;carteira eletrônica;597,73;4,761904762;29,8865;4,1
6;355-53-5943;A;Tupã;Member;Feminino;acessórios eletronicos;68,84;6;20,652;433,692;2/25/2019;14:36;carteira eletrônica;413,04;4,761904762;20,652;5,8
7;315-22-5665;C;Presidente Prudente;Normal;Feminino;casa e estilo de vida;73,56;10;36,78;772,38;2/24/2019;11:38;carteira eletrônica;735,6;4,761904762;36,78;8,0
8;665-32-9167;A;Tupã;Member;Feminino;saúde e beleza;36,26;2;3,626;76,146;1/10/2019;17:15;cartão de crédito;72,52;4,761904762;3,626;7,2
9;692-92-5582;B;Adamantina;Member;Feminino;alimentos e bebidas;54,84;3;8,226;172,746;2/20/2019;13:27;cartão de crédito;164,52;4,761904762;8,226;5,9
10;351-62-0822;B;Adamantina;Member;Feminino;acessórios fashions;14,48;4;2,896;60,816;2/6/2019;18:07;carteira eletrônica;57,92;4,761904762;2,896;4,5
11;529-56-3974;B;Adamantina;Member;Masculino;acessórios eletronicos;25,51;4;5,102;107,142;3/9/2019;17:03;dinheiro;102,04;4,761904762;5,102;6,8
12;365-64-0515;A;Tupã;Normal;Feminino;acessórios eletronicos;46,95;5;11,7375;246,4875;2/12/2019;10:25;carteira eletrônica;234,75;4,761904762;11,7375;7,1
13;252-56-2699;A;Tupã;Normal;Masculino;alimentos e bebidas;43,19;10;21,595;453,495;2/7/2019;16:48;carteira eletrônica;431,9;4,761904762;21,595;8,2
14;829-34-3910;A;Tupã;Normal;Feminino;saúde e beleza;71,38;10;35,69;749,49;3/29/2019;19:21;dinheiro;713,8;4,761904762;35,69;5,7
15;299-46-1805;B;Adamantina;Member;Feminino;esportes e viagens;93,72;6;28,116;590,436;1/15/2019;16:19;dinheiro;562,32;4,761904762;28,116;4,5
16;656-95-9349;A;Tupã;Member;Feminino;saúde e beleza;68,93;7;24,1255;506,6355;3/11/2019;11:03;cartão de crédito;482,51;4,761904762;24,1255;4,6
17;765-26-6951;A;Tupã;Normal;Masculino;esportes e viagens;72,61;6;21,783;457,443;1/1/2019;10:39;cartão de crédito;435,66;4,761904762;21,783;6,9
18;329-62-1586;A;Tupã;Normal;Masculino;alimentos e bebidas;54,67;3;8,2005;172,2105;1/21/2019;18:00;cartão de crédito;164,01;4,761904762;8,2005;8,6
19;319-50-3348;B;Adamantina;Normal;Feminino;casa e estilo de vida;40,3;2;4,03;84,63;3/11/2019;15:30;carteira eletrônica;80,6;4,761904762;4,03;4,4
20;300-71-4605;C;Presidente Prudente;Member;Masculino;acessórios eletronicos;86,04;5;21,51;451,71;2/25/2019;11:24;carteira eletrônica;430,2;4,761904762;21,51;4,8
21;371-85-5789;B;Adamantina;Normal;Masculino;saúde e beleza;87,98;3;13,197;277,137;3/5/2019;10:40;carteira eletrônica;263,94;4,761904762;13,197;5,1
22;273-16-6619;B;Adamantina;Normal;Masculino;casa e estilo de vida;33,2;2;3,32;69,72;3/15/2019;12:20;cartão de crédito;66,4;4,761904762;3,32;4,4
23;636-48-8204;A;Tupã;Normal;Masculino;acessórios eletronicos;34,56;5;8,64;181,44;2/17/2019;11:15;carteira eletrônica;172,8;4,761904762;8,64;9,9
24;549-59-1358;A;Tupã;Member;Masculino;esportes e viagens;88,63;3;13,2945;279,1845;3/2/2019;17:36;carteira eletrônica;265,89;4,761904762;13,2945;6,0
25;227-03-5010;A;Tupã;Member;Feminino;casa e estilo de vida;52,59;8;21,036;441,756;3/22/2019;19:20;cartão de crédito;420,72;4,761904762;21,036;8,5
26;649-29-6775;B;Adamantina;Normal;Masculino;acessórios fashions;33,52;1;1,676;35,196;2/8/2019;15:31;dinheiro;33,52;4,761904762;1,676;6,7
27;189-17-4241;A;Tupã;Normal;Feminino;acessórios fashions;87,67;2;8,767;184,107;3/10/2019;12:17;cartão de crédito;175,34;4,761904762;8,767;7,7
28;145-94-9061;B;Adamantina;Normal;Feminino;alimentos e bebidas;88,36;5;22,09;463,89;1/25/2019;19:48;dinheiro;441,8;4,761904762;22,09;9,6
29;848-62-7243;A;Tupã;Normal;Masculino;saúde e beleza;24,89;9;11,2005;235,2105;3/15/2019;15:36;dinheiro;224,01;4,761904762;11,2005;7,4
30;871-79-8483;B;Adamantina;Normal;Masculino;acessórios fashions;94,13;5;23,5325;494,1825;2/25/2019;19:39;cartão de crédito;470,65;4,761904762;23,5325;4,8
31;149-71-6266;B;Adamantina;Member;Masculino;esportes e viagens;78,07;9;35,1315;737,7615;1/28/2019;12:43;dinheiro;702,63;4,761904762;35,1315;4,5
32;640-49-2076;B;Adamantina;Normal;Masculino;esportes e viagens;83,78;8;33,512;703,752;1/10/2019;14:49;dinheiro;670,24;4,761904762;33,512;5,1
33;595-11-5460;A;Tupã;Normal;Masculino;saúde e beleza;96,58;2;9,658;202,818;3/15/2019;10:12;cartão de crédito;193,16;4,761904762;9,658;5,1
34;183-56-6882;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;99,42;4;19,884;417,564;2/6/2019;10:42;carteira eletrônica;397,68;4,761904762;19,884;7,5
35;232-16-2483;C;Presidente Prudente;Member;Feminino;esportes e viagens;68,12;1;3,406;71,526;1/7/2019;12:28;carteira eletrônica;68,12;4,761904762;3,406;6,8
36;129-29-8530;A;Tupã;Member;Masculino;esportes e viagens;62,62;5;15,655;328,755;3/10/2019;19:15;carteira eletrônica;313,1;4,761904762;15,655;7,0
37;272-65-1806;A;Tupã;Normal;Feminino;acessórios eletronicos;60,88;9;27,396;575,316;1/15/2019;17:17;carteira eletrônica;547,92;4,761904762;27,396;4,7
38;333-73-7901;C;Presidente Prudente;Normal;Feminino;saúde e beleza;54,92;8;21,968;461,328;3/23/2019;13:24;carteira eletrônica;439,36;4,761904762;21,968;7,6
39;777-82-7220;B;Adamantina;Member;Masculino;casa e estilo de vida;30,12;8;12,048;253,008;3/3/2019;13:01;dinheiro;240,96;4,761904762;12,048;7,7
40;280-35-5823;B;Adamantina;Member;Feminino;casa e estilo de vida;86,72;1;4,336;91,056;1/17/2019;18:45;carteira eletrônica;86,72;4,761904762;4,336;7,9
41;554-53-8700;C;Presidente Prudente;Member;Masculino;casa e estilo de vida;56,11;2;5,611;117,831;2/2/2019;10:11;dinheiro;112,22;4,761904762;5,611;6,3
42;354-25-5821;B;Adamantina;Member;Feminino;esportes e viagens;69,12;6;20,736;435,456;2/8/2019;13:03;dinheiro;414,72;4,761904762;20,736;5,6
43;228-96-1411;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;98,7;8;39,48;829,08;3/4/2019;20:39;dinheiro;789,6;4,761904762;39,48;7,6
44;617-15-4209;C;Presidente Prudente;Member;Masculino;saúde e beleza;15,37;2;1,537;32,277;3/16/2019;19:47;dinheiro;30,74;4,761904762;1,537;7,2
45;132-32-9879;B;Adamantina;Member;Feminino;acessórios eletronicos;93,96;4;18,792;394,632;3/9/2019;18:00;dinheiro;375,84;4,761904762;18,792;9,5
46;370-41-7321;B;Adamantina;Member;Masculino;saúde e beleza;56,69;9;25,5105;535,7205;2/27/2019;17:24;cartão de crédito;510,21;4,761904762;25,5105;8,4
47;727-46-3608;B;Adamantina;Member;Feminino;alimentos e bebidas;20,01;9;9,0045;189,0945;2/6/2019;15:47;carteira eletrônica;180,09;4,761904762;9,0045;4,1
48;669-54-1719;B;Adamantina;Member;Masculino;acessórios eletronicos;18,93;6;5,679;119,259;2/10/2019;12:45;cartão de crédito;113,58;4,761904762;5,679;8,1
49;574-22-5561;C;Presidente Prudente;Member;Feminino;acessórios fashions;82,63;10;41,315;867,615;3/19/2019;17:08;carteira eletrônica;826,3;4,761904762;41,315;7,9
50;326-78-5178;C;Presidente Prudente;Member;Masculino;alimentos e bebidas;91,4;7;31,99;671,79;2/3/2019;10:19;dinheiro;639,8;4,761904762;31,99;9,5
51;162-48-8011;A;Tupã;Member;Feminino;alimentos e bebidas;44,59;5;11,1475;234,0975;2/10/2019;15:10;dinheiro;222,95;4,761904762;11,1475;8,5
52;616-24-2851;B;Adamantina;Member;Feminino;acessórios fashions;17,87;4;3,574;75,054;3/22/2019;14:42;carteira eletrônica;71,48;4,761904762;3,574;6,5
53;778-71-5554;C;Presidente Prudente;Member;Masculino;acessórios fashions;15,43;1;0,7715;16,2015;1/25/2019;15:46;cartão de crédito;15,43;4,761904762;0,7715;6,1
54;242-55-6721;B;Adamantina;Normal;Masculino;casa e estilo de vida;16,16;2;1,616;33,936;3/7/2019;11:49;carteira eletrônica;32,32;4,761904762;1,616;6,5
55;399-46-5918;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;85,98;8;34,392;722,232;2/28/2019;19:01;dinheiro;687,84;4,761904762;34,392;8,2
56;106-35-6779;A;Tupã;Member;Masculino;casa e estilo de vida;44,34;2;4,434;93,114;3/27/2019;11:26;dinheiro;88,68;4,761904762;4,434;5,8
57;635-40-6220;A;Tupã;Normal;Masculino;saúde e beleza;89,6;8;35,84;752,64;2/7/2019;11:28;carteira eletrônica;716,8;4,761904762;35,84;6,6
58;817-48-8732;A;Tupã;Member;Feminino;casa e estilo de vida;72,35;10;36,175;759,675;1/20/2019;15:55;dinheiro;723,5;4,761904762;36,175;5,4
59;120-06-4233;C;Presidente Prudente;Normal;Masculino;acessórios eletronicos;30,61;6;9,183;192,843;3/12/2019;20:36;dinheiro;183,66;4,761904762;9,183;9,3
60;285-68-5083;C;Presidente Prudente;Member;Feminino;esportes e viagens;24,74;3;3,711;77,931;2/15/2019;17:47;cartão de crédito;74,22;4,761904762;3,711;10,0
61;803-83-5989;C;Presidente Prudente;Normal;Masculino;casa e estilo de vida;55,73;6;16,719;351,099;2/24/2019;10:55;carteira eletrônica;334,38;4,761904762;16,719;7,0
62;347-34-2234;B;Adamantina;Member;Feminino;esportes e viagens;55,07;9;24,7815;520,4115;2/3/2019;13:40;carteira eletrônica;495,63;4,761904762;24,7815;10,0
63;199-75-8169;A;Tupã;Member;Masculino;esportes e viagens;15,81;10;7,905;166,005;3/6/2019;12:27;cartão de crédito;158,1;4,761904762;7,905;8,6
64;853-23-2453;B;Adamantina;Member;Masculino;saúde e beleza;75,74;4;15,148;318,108;2/14/2019;14:35;dinheiro;302,96;4,761904762;15,148;7,6
65;877-22-3308;A;Tupã;Member;Masculino;saúde e beleza;15,87;10;7,935;166,635;3/13/2019;16:40;dinheiro;158,7;4,761904762;7,935;5,8
66;838-78-4295;C;Presidente Prudente;Normal;Feminino;saúde e beleza;33,47;2;3,347;70,287;2/10/2019;15:43;carteira eletrônica;66,94;4,761904762;3,347;6,7
67;109-28-2512;B;Adamantina;Member;Feminino;acessórios fashions;97,61;6;29,283;614,943;1/7/2019;15:01;carteira eletrônica;585,66;4,761904762;29,283;9,9
68;232-11-3025;A;Tupã;Normal;Masculino;esportes e viagens;78,77;10;39,385;827,085;1/24/2019;10:04;dinheiro;787,7;4,761904762;39,385;6,4
69;382-03-4532;A;Tupã;Member;Feminino;saúde e beleza;18,33;1;0,9165;19,2465;2/2/2019;18:50;dinheiro;18,33;4,761904762;0,9165;4,3
70;393-65-2792;C;Presidente Prudente;Normal;Masculino;alimentos e bebidas;89,48;10;44,74;939,54;1/6/2019;12:46;cartão de crédito;894,8;4,761904762;44,74;9,6
71;796-12-2025;C;Presidente Prudente;Normal;Masculino;acessórios fashions;62,12;10;31,06;652,26;2/11/2019;16:19;dinheiro;621,2;4,761904762;31,06;5,9
72;510-95-6347;B;Adamantina;Member;Feminino;alimentos e bebidas;48,52;3;7,278;152,838;3/5/2019;18:17;carteira eletrônica;145,56;4,761904762;7,278;4,0
73;841-35-6630;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;75,91;6;22,773;478,233;3/9/2019;18:21;dinheiro;455,46;4,761904762;22,773;8,7
74;287-21-9091;A;Tupã;Normal;Masculino;casa e estilo de vida;74,67;9;33,6015;705,6315;1/22/2019;10:55;carteira eletrônica;672,03;4,761904762;33,6015;9,4
